| {"level":30,"time":1767180770553,"pid":32900,"hostname":"3b698ff6286e","name":"pro-advocate-agent","debateId":"fb2b0584-ab73-45cb-aea3-a2c5838d0439","proposition":"Should a human participate in an AI Debate?","msg":"Generating opening statement"}
clearside-backend   | {"level":30,"time":1767180770554,"pid":32900,"hostname":"3b698ff6286e","name":"llm-client","provider":"openai","model":"gpt-4-turbo-preview","messageCount":2,"temperature":0.7,"maxTokens":1024,"msg":"Starting LLM completion request"}
clearside-backend   | {"level":50,"time":1767180771138,"pid":32900,"hostname":"3b698ff6286e","name":"llm-client","provider":"openai","model":"gpt-4-turbo-preview","duration":584,"error":{"code":"not_found","message":"404 The model `gpt-4-turbo-preview` does not exist or you do not have access to it.","retryable":false,"statusCode":404},"msg":"LLM completion failed"}
clearside-backend   | {"level":50,"time":1767180771139,"pid":32900,"hostname":"3b698ff6286e","name":"pro-advocate-agent","error":"404 The model `gpt-4-turbo-preview` does not exist or you do not have 
access to it.","debateId":"fb2b0584-ab73-45cb-aea3-a2c5838d0439","msg":"Failed to generate opening statement"}
clearside-backend   | {"level":40,"time":1767180771139,"pid":32900,"hostname":"3b698ff6286e","name":"lively-orchestrator","speaker":"PRO","retries":2,"error":{"code":"not_found","retryable":false,"statusCode":404,"cause":{"status":404,"headers":{"alt-svc":"h3=\":443\"; ma=86400","cf-cache-status":"DYNAMIC","cf-ray":"9b6975681a217579-SEA","connection":"keep-alive","content-encoding":"gzip","content-type":"application/json; charset=utf-8","date":"Wed, 31 Dec 2025 11:32:51 GMT","server":"cloudflare","set-cookie":"__cf_bm=DFjGhIyu2.UkRm5d4iPs2.4qp9i6vGVQ9sHMp1JR_ug-1767180771-1.0.1.1-rIM2ZTiFXmMvXY3IwSxbcz6mWiudfMvVPFtVn85MEHSSfwshtvhA9vGmhM6aRenbrN4oFNP1nhHggy6bhu4cTi2OcHEfo8f9wGCANgIWqJU; path=/; expires=Wed, 31-Dec-25 12:02:51 GMT; domain=.api.openai.com; HttpOnly; Secure; SameSite=None, _cfuvid=GkT_UI8Me3Hxlg76Jrp7GO0NHhTLhKMQa9c2ByRJ9vA-1767180771126-0.0.1.1-604800000; path=/; domain=.api.openai.com; HttpOnly; Secure; SameSite=None","strict-transport-security":"max-age=31536000; includeSubDomains; preload","transfer-encoding":"chunked","vary":"Origin","x-content-type-options":"nosniff","x-envoy-upstream-service-time":"53","x-openai-proxy-wasm":"v0.1","x-request-id":"req_5266640e90414e4d92bf124a089cc7ee"},"request_id":"req_5266640e90414e4d92bf124a089cc7ee","error":{"message":"The model `gpt-4-turbo-preview` does not exist or you do not have access to it.","type":"invalid_request_error","param":null,"code":"model_not_found"},"code":"model_not_found","param":null,"type":"invalid_request_error"},"name":"LLMError"},"msg":"Agent call failed, retrying..."}
clearside-backend   | {"level":30,"time":1767180773138,"pid":32900,"hostname":"3b698ff6286e","name":"pro-advocate-agent","debateId":"fb2b0584-ab73-45cb-aea3-a2c5838d0439","proposition":"Should a human participate in an AI Debate?","msg":"Generating opening statement"}
clearside-backend   | {"level":30,"time":1767180773139,"pid":32900,"hostname":"3b698ff6286e","name":"llm-client","provider":"openai","model":"gpt-4-turbo-preview","messageCount":2,"temperature":0.7,"maxTokens":1024,"msg":"Starting LLM completion request"}
clearside-backend   | {"level":50,"time":1767180773318,"pid":32900,"hostname":"3b698ff6286e","name":"llm-client","provider":"openai","model":"gpt-4-turbo-preview","duration":179,"error":{"code":"not_found","message":"404 The model `gpt-4-turbo-preview` does not exist or you do not have access to it.","retryable":false,"statusCode":404},"msg":"LLM completion failed"}
clearside-backend   | {"level":50,"time":1767180773318,"pid":32900,"hostname":"3b698ff6286e","name":"pro-advocate-agent","error":"404 The model `gpt-4-turbo-preview` does not exist or you do not have 
access to it.","debateId":"fb2b0584-ab73-45cb-aea3-a2c5838d0439","msg":"Failed to generate opening statement"}
